lick_id,label,bout_tag,harvest_tag,velocity_max,deceleration_min,decel_strength,electrode,spike_time,spike_type
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.03400000000056025,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.020000000000436557,SS
12,1,2.0,0.0,182.16680718556717,-347.22611959556116,1160.298134938789,0,-0.009000000000014552,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.0999999999994543,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.09000000000014552,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.07200000000011642,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.04500000000007276,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.032000000000152795,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.021999999999934516,SS
13,3,1.0,1.0,305.6992368815156,-434.38081537527626,1194.137644066961,0,-0.005000000000109139,SS
14,0,0.0,0.0,249.4888380065523,-394.9815058395144,1286.0249381753554,0,-0.09199999999964348,SS
14,0,0.0,0.0,249.4888380065523,-394.9815058395144,1286.0249381753554,0,-0.06700000000000728,SS
14,0,0.0,0.0,249.4888380065523,-394.9815058395144,1286.0249381753554,0,-0.05900000000019645,SS
15,0,0.0,0.0,290.71510478919623,-415.6228829789402,2076.536462775117,0,-0.1000000000003638,SS
15,0,0.0,0.0,290.71510478919623,-415.6228829789402,2076.536462775117,0,-0.04100000000016735,SS
15,0,0.0,0.0,290.71510478919623,-415.6228829789402,2076.536462775117,0,-0.032000000000152795,SS
15,0,0.0,0.0,290.71510478919623,-415.6228829789402,2076.536462775117,0,-0.006000000000312866,SS
15,0,0.0,0.0,290.71510478919623,-415.6228829789402,2076.536462775117,0,-0.09500000000025466,CS
16,0,0.0,0.0,278.839563732699,-483.5800299004265,1072.4598605094804,0,-0.09500000000025466,SS
16,0,0.0,0.0,278.839563732699,-483.5800299004265,1072.4598605094804,0,-0.057999999999992724,SS
16,0,0.0,0.0,278.839563732699,-483.5800299004265,1072.4598605094804,0,-0.05199999999967986,SS
16,0,0.0,0.0,278.839563732699,-483.5800299004265,1072.4598605094804,0,-0.03300000000035652,SS
16,0,0.0,0.0,278.839563732699,-483.5800299004265,1072.4598605094804,0,-0.03300000000035652,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.09199999999964348,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.0860000000002401,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.07799999999951979,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.07799999999951979,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.07799999999951979,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.06999999999970896,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.05400000000008731,SS
17,0,0.0,0.0,336.594805897455,-544.8345997931114,4207.435073722014,0,-0.01900000000023283,SS
18,0,0.0,0.0,238.4933671825682,-351.3860277577102,2805.804319793719,0,-0.06300000000010186,SS
19,0,0.0,0.0,307.5633030097415,-397.6842402854604,2196.88073577873,0,-0.09400000000005093,SS
19,0,0.0,0.0,307.5633030097415,-397.6842402854604,2196.88073577873,0,-0.05099999999947613,SS
19,0,0.0,0.0,307.5633030097415,-397.6842402854604,2196.88073577873,0,-0.01599999999962165,SS
20,0,0.0,0.0,255.56333421400822,-607.3849510179906,1111.1449313629682,0,-0.02900000000045111,SS
20,0,0.0,0.0,255.56333421400822,-607.3849510179906,1111.1449313629682,0,-0.007999999999810825,SS
20,0,0.0,0.0,255.56333421400822,-607.3849510179906,1111.1449313629682,0,-0.006000000000312866,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.09799999999995634,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.08100000000013097,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.07600000000002183,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.058999999999286956,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.05400000000008731,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.049999999999272404,SS
21,0,0.0,0.0,320.08392150955314,-482.6253639140057,2370.992011194015,0,-0.011999999999716238,SS
22,0,0.0,0.0,248.7489131624423,-469.0588433952505,1856.3351728538455,0,-0.09799999999995634,SS
22,0,0.0,0.0,248.7489131624423,-469.0588433952505,1856.3351728538455,0,-0.08400000000074215,SS
22,0,0.0,0.0,248.7489131624423,-469.0588433952505,1856.3351728538455,0,-0.057999999999992724,SS
22,0,0.0,0.0,248.7489131624423,-469.0588433952505,1856.3351728538455,0,-0.046000000000276486,SS
22,0,0.0,0.0,248.7489131624423,-469.0588433952505,1856.3351728538455,0,-0.0030000000006111804,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.09699999999975262,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.08999999999923602,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.07299999999941065,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.06499999999959982,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.052999999999883585,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.03999999999996362,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.023999999999432475,SS
23,0,0.0,0.0,221.11242149117618,-574.6553467677411,925.1565752785214,0,-0.018000000000029104,CS
24,0,0.0,0.0,345.56502712823504,-482.37571352606204,2879.708559404578,0,-0.0999999999994543,SS
